Name,Date,URL,Post,Likes,Comments,Shares,Engagement Score,Reach
Avon,10/10/2017 19:00,http://www.facebook.com/339804526194_10155453228931195,"A nova Máscara Alongadora Avon Supreme chegou com Bruna Linzmeyer, MC Carol e Mel Gonçalves, três mulheres fortes que enfrentam o mundo olhando pra frente. Ao lado delas, convidamos você a alongar seu olhar e visualizar um mundo com mais empatia, amor e respeito. Nós sabemos o futuro que queremos, e você? #AlongueSeuOlhar https://goo.gl/UPj4RQ??#PraCegoVer Vídeo da nova campanha Avon, estrelando a atriz Bruna Linzmeyer, a rapper MC Carol e a cantora Mel Gonçalves para o lançamento da nova Máscara Alongadora Avon Supreme.",86661,5269,11123,1000,4896684
Avon,16/10/2017 17:33,http://www.facebook.com/339804526194_10155469025286195,A Avon tá muito chique! Convidamos a querida Bruna Linzmeyer para brincar de blogueira por um dia e o resultado é o review da nova Máscara Alongadora Avon Supreme e dos novos Batons Supreme. Vem descobrir os preferidos da Bruna <3 #AlongueSeuOlhar??Bruna usa:?Máscara Alongadora Avon Supreme - https://goo.gl/f9Z6o8?Batom Supreme Oil Caramelo Couro - https://goo.gl/Gwni1A?Batom Supreme Oil Rubi Vinil - https://goo.gl/Gwni1A?Esmalte Rosa Tule - https://goo.gl/ME5jaE?Sombra Coleção Laguna Azul Matte - https://goo.gl/DmrdE3??#PraCegoVer Vídeo review com a atriz Bruna Linzmeyer em um camarim com a Máscara Alongadora Avon Supreme e os Batons Supreme Oil.,32698,4075,3967,962,4476578
Oriflame India,03/10/2017 23:00,http://www.facebook.com/125944234111841_1634726043233645,"Are you ready to be the change you are looking for in the world? Join us on this journey to make a #beautifulchange featuring Kalki Koechlin. Watch the story, share it with your loved ones and take a pledge to do your bit. #Oriflame",52845,836,11837,1000,4448088
Huda Beauty,01/10/2017 15:08,http://www.facebook.com/114619875225579_1601861333168085,Who can relate? ????????????,36974,8628,7382,1000,4180291
O Boticário,23/10/2017 08:00,http://www.facebook.com/140105282727777_1694211533983803,"O jogo da conquista é algo difícil de resistir, não é mesmo? E, agora, o novo Malbec Gold com a exclusiva tecnologia Goldsense, chega pra deixar tudo mais interessante ???Produto na Imagem: ?Malbec Gold Des. Colônia: http://bit.ly/2yqEiyq??#pracegover: dentro de um closet masculino o Malbec Gold está ao centro da imagem em primeiro plano, cujo frasco é elegantemente composto por um degradê nas cores preta e dourada. No canto superior esquerdo, uma mão feminina surge e envolve a fragrância. No canto inferior direito, há o texto: ""Atraia todos os olhares com o novo Malbec Gold"".",284888,5191,8068,1000,3995690
Avon,11/10/2017 18:46,http://www.facebook.com/339804526194_10155456059401195,"“As palavras têm um poder de concretizar coisas”. Elas têm a capacidade de nos libertar ou até mesmo nos aprisionar. As palavras formam a nossa personalidade e influenciam quem seremos no futuro.??Na Semana das Crianças, queremos convidar você a repensar os elogios que dizemos para meninos e meninas. ?Aqui vai o primeiro episódio do ""Mais Que Lindas"", uma série de conversas que discute o poder das palavras e elogios que fazemos às meninas. O documentário Repense o Elogio sai no dia 17/10 e você poderá conferir em: https://goo.gl/deZhdS?#REPENSEOELOGIO",27584,6998,10569,997,3922584
Huggies Turma da M?nica,11/10/2017 11:39,http://www.facebook.com/214233141923302_1736539689692632,"Michael Phelps revelou por que está #TreinandoPara2032. É para nadar, se divertir e se desenvolver com o filho dele. Quer saber mais? Assista ao vídeo.",30651,1063,1681,950,3890313
Oral-B,20/10/2017 14:17,http://www.facebook.com/150935434961902_1595371443851620,Revolucionária na maciez das cerdas e nas cores. Descubra a nova Oral-B Pro-Gengiva. http://spr.ly/618487YaK,41513,1866,1436,983,3861693
O Boticário,25/10/2017 08:00,http://www.facebook.com/140105282727777_1701222486616041,"Que tal ser surpreendido pela fragrância que você ama? Mais uma vez, a linha Floratta vai dar um novo motivo para se apaixonar e inovar essa história entre vocês. Sabe como? Com esses frascos lindos que chegaram exalando todo o amor por estas fragrâncias que você já conhece de longa data. Hmmmm!??Produtos na Imagem: ?Floratta Blue Des. Colônia: http://bit.ly/2z3svqr?Floratta Rose Des. Colônia: http://bit.ly/2itN4oV?Floratta Gold Des. Colônia: http://bit.ly/2i2nTGr?Floratta Cerejeira em Flor Des. Colônia: http://bit.ly/2gyQOkZ??#pracegover: na imagem, os quatro frascos de Floratta estão deitados sobre um fundo amarelado com uma textura de papel. Uma luz, que parece entrar por uma janela, invade a imagem formando sombras, reflexos e refrações. No canto superior, aparece um vaso cheio de flores e, no canto inferior, o texto ""Nunca foi tão fácil se apaixonar"".",283248,4591,4402,999,3699331
ClubGlamrs,25/10/2017 02:30,http://www.facebook.com/319863888091100_1494546633956147,It's time to get creative with your dupattas! Here are 3 interesting hacks to give your dupatta a new look.,100834,4703,69025,1000,3688720
O Boticário,17/10/2017 19:00,http://www.facebook.com/140105282727777_1692971460774477,"Tem como ficar um dia se quer sem o seu Lily? Então aproveita a promo de até 15% de desconto na linha e garanta a nossa versão miniatura de Lily pra levar na bolsa e pronto: tem elegância de sobra pra onde você for!??Produtos na Imagem: ?Lily Eau de Parfum 30ml: http://bit.ly/2ytWm8x??#pracegover Na imagem, temos a mão de uma mulher tirando a fragrância Lily Eau de Parfum 30ml de uma nécessaire na cor rosa bebê. No canto superior esquerdo, há o texto: ""Leve sua elegância para qualquer lugar"".",264454,5346,4417,999,3639129
O Boticário,24/10/2017 15:00,http://www.facebook.com/140105282727777_1701156583289298,"Todo mundo tem uma fragrância de Nativa SPA que não resiste, certo? Tem aquele de ameixa, por exemplo, que traz as memórias mais deliciosas e delicadas! Bora então aproveitar a promo de até 40% em itens selecionados de Nativa SPA? ??????Produto na Imagem: ?Nativa SPA Loção Cremosa Hidratante Des. Exótica Ameixa: http://bit.ly/2lcmUs1??#pracegover: na imagem, o creme hidratante de Nativa SPA está no centro sobre uma mesa de madeira rústica, ao lado de um porta-lápis e um vaso de plantas. Ao fundo, um mural com três fotos: duas onde aparecem uma mulher e outra onde aparecem muitas ameixas. No canto inferior da imagem aparece o texto ""Fragrância irresistível de ameixa"".",361078,6742,4347,1000,3562999
Lifebuoy,15/10/2017 01:03,http://www.facebook.com/407422362695986_1230914853680062,"????? ??? ????? ???? ???? ??????? Largest Human Image of a Hand ???? ???? ??????? GUINNESS WORLD RECORDS™ title ??????? ?????? ??????? ???????? ????????? ???? ?????? ??? ?????? ??? ???? ???? ????????? ?????? ?????? ??? ?? ?????? ??????? ?????? ???? ???????-?? ???? ?? ????????? ??? ??????? ?????????? ??,???-??? ???? ?????-??????? #High5forHandwashing",786936,4164,3712,1000,3544533
innisfreeHQ,25/10/2017 21:00,http://www.facebook.com/289955041017153_1768229306523045,[#???? #?????? ???? D-6]?#????? ??? ???????????????? ?/?/? ???? ?????? ???????? ????11/1~11/7 ? 7?????? ??? ?? & ??? ??? ??????!??? ?????? ?? 18? 1? ? ?? ?????(??? ??? 11/1 ?????? ??),29529,23270,2736,1000,3544382
Huggies Turma da M?nica,09/10/2017 16:45,http://www.facebook.com/214233141923302_1734581276555140,"Dobriiiiiinhas! Além de fofas e irresistíveis, elas são um sinal que a pele do seu bebê está bem cuidada. E Huggies tem a solução completa para proteger essas fofurinhas. #AbraceAsDobrinhas",29924,913,634,902,3471103
BEARDO India,17/10/2017 04:42,http://www.facebook.com/1642692419320655_1973779349545292,Your beard is a reflection of your personality. It defines you.?Here’s presenting to you a video that can help you style yourself and stand out this Diwali.?#SuchABeardo,34297,634,1695,992,3433869
L'Oreal Paris PK,18/10/2017 02:45,http://www.facebook.com/265462271020_10154779629601021,"Mahira Khan has become a beauty icon for a whole generation. Today this strong, charismatic and beautiful actress is joining the family as the local spokesperson for L'Oréal Paris Haircare and we're so proud to welcome her!",43079,2138,3016,1000,3340274
O Boticário,23/10/2017 19:00,http://www.facebook.com/140105282727777_1699842830087340,"Que Malbec é uma fragrância intensa e marcante você já sabe, né? Agora você vai se surpreender com o novo Malbec Gold, com a exclusiva tecnologia Goldsense. Dê o play e se prepare para despertar imaginações.",18877,639,1704,541,3299548
LUX,24/10/2017 08:19,http://www.facebook.com/198681730247947_10212669068913609,Have you tried the New Lux Perfumed Soap collection yet???#LuxPerfumedSoap #perfumedsoap #Lux #LuxFragrance,146894,1062,1370,1000,3278939
Vaseline,25/10/2017 00:00,http://www.facebook.com/649447368445823_1598313486892535,"???????? ?????????? ??????? ???% ???? ??????????? ????, ?? ????? ???? ????? ???? ??????? ????",540470,1986,1059,1000,3270562
Pond's Philippines,06/10/2017 07:09,http://www.facebook.com/116841821671223_1620609571294433,"These days, lifestyles are faster and always on the go. Learn Nadine's quick beauty tip to fade dark marks - Pond's White Beauty Detox Cream for Oily Skin. Get a rosy white glow!*??Watch more quick tips from Nadine here: https://youtu.be/vG9KYx4cqGw??*with regular use, results may vary.?ASC Ref No. U140P100517P",34375,597,485,669,3228747
Veet India,16/10/2017 08:20,http://www.facebook.com/241130119248568_1872152129479684,Now you can remove the shortest of hair that even salon cannot. #JustVeetIt and Stay #AlwaysReady with Veet Cold Wax Strips ?Buy now: http://amzn.to/2yLpuuP,47067,659,501,1000,3210461
Avon,13/10/2017 20:00,http://www.facebook.com/339804526194_10155461298336195,"Meninas são lindas, princesas. Meninos são fortes, inteligentes e corajosos. Até que ponto adjetivos podem aprisionar? Se você acompanhou a entrevista da diretora Estela Renner na TV e quer saber mais sobre o projeto #REPENSEOELOGIO assista ao trailer.",15790,14764,8810,998,3160384
O Boticário,04/10/2017 06:18,http://www.facebook.com/140105282727777_1675254845879472,"É muuuuuita gente tentando entrar no site ao mesmo tempo e querendo conquistar um lápis pra chamar de seu!?Para evitar lentidão ou instabilidade na navegação do site, estamos organizando os horários de liberação de acesso ao cadastro.?Tudo isso pra entregar 1 milhão de lápis de olhos pra vocês. ?Corre, pois o estoque dos lápis é limitado e tem muita gente querendo ;)?Acessa aqui: boticario.com.br/queromakeb",37023,63789,5596,1000,3110469
O Boticário,11/10/2017 09:00,http://www.facebook.com/140105282727777_1683476951723928,"Tem sensação mais gostosa do que receber um presente inesperado? Surpresa! Chegou o novo Floratta Flores Secretas. Uma fragrância que vai deixar o amor no ar e fazer você cantarolar por aí. ??????Produto na imagem?Floratta Flores Secretas Des.Colônia: http://bit.ly/2gsdm7q??#pracegover: Na imagem, um trecho da música ""Love Is In The Air"" está estampado em um quadro colorido e delicado. O trecho diz ""You're Something That I Must Believe In"" que significa ""Você é algo em que devo acreditar"", em inglês. Há um pequeno buquê de flores pousado em cima da arte e o novo Floratta Flores Secretas em pé, em destaque. Abaixo dele, temos o texto: ""O amor está no ar com o novo Floratta!"" Tão romântico!",140494,2171,3585,976,3082897
MyNykaa,10/10/2017 08:32,http://www.facebook.com/290603811040262_1270578903042743,"Be powerful, be beautiful, be you. ?????????You're not who they say you are, you are who you want to be. ??Join us in our revolution as we #BreakTheHashtag with Taapsee Pannu and celebrate the many roles we play in life, like her. ??#TaapseePannu #BeYou #Nykaa",30131,198,1397,972,3081557
Sunsilk Pakistan,09/10/2017 08:14,http://www.facebook.com/325342768450_10155362585793451,Dost ki shaadi was great with my khoobsurat lambe baal.?#Sunsilk #LongHairGoals #SunsilkLongandHealthy,26439,819,460,997,3046119
Parachute Advansed,18/10/2017 08:26,http://www.facebook.com/189952054376548_1546287755409631,The warmth of love conquers the coldest relationships. Like sibling rivalries.?Iss Bhai dooj jhagde bhulao Aur Thoda #LoveJatao with Parachute Advansed Hot Oil?Tag your sibling to share this with them.,47813,1037,2309,1000,3033602
MyNykaa,06/10/2017 07:47,http://www.facebook.com/290603811040262_1263015553799078,Calling out to all the ‘Cuppulz’! Watch Mallika Dua star in our video ‘The Karva Sach of Karva Chauth’??????????????????Tag your better half and tell us in comments below what you do to keep those hunger pangs at bay while you’re fasting for Karva Chauth ??????????????????????Shop our Karwa Chauth store at #Nykaa: http://bit.ly/KawaChauthStoreXMallikaDua,16791,2338,2574,987,2898246
LUX,12/10/2017 07:41,http://www.facebook.com/198681730247947_10159482159280578,Did you know that the long-lasting fragrance of the New Lux Hypnotic Rose contains fragrance notes from the precious Egyptian Rose? ??#LuxPerfumedSoap #perfumedsoap #Lux #LuxFragrance,44599,270,583,1000,2852798
ClubGlamrs,16/10/2017 10:00,http://www.facebook.com/319863888091100_1484773778266766,Backless choli or an off-shoulder anarkali? These 5 bras will solve all your Indianwear problems!,15617,246,1201,742,2810790
CLEAR,08/10/2017 15:39,http://www.facebook.com/509931205722897_1469602506422424,CLEAR was live.,69999,3975,1001,1000,2799773
Garnier Men Indonesia,10/10/2017 23:00,http://www.facebook.com/140435459357045_1547430638657513,"Promo terbatas! Garnier Men Turbo Light Oil Control Matcha Gel cuma Rp 22.900. Ayo, ke Indomaret atau Alfamart sekarang sebelum kehabisan, Men!",269873,334,62,1000,2793850
O Boticário,28/10/2017 08:00,http://www.facebook.com/140105282727777_1700044040067219,"Sabe aquela fragrância que estava faltando na sua coleção? Pois é, ela chegou! Conheça o novo Floratta Flores Secretas, que guarda um segredo especial: o acorde exclusivo flor de figo. Além da deliciosa fragrância, ainda tem esse frasco lindo! E aí, vai resistir à alegria que é ter uma coleção dessa completa? ??????????????????????Produtos na imagem:?Floratta Flores Secretas Des. Colônia: http://bit.ly/2yIR2hA?Floratta Blue Des. Colônia: http://bit.ly/2gCQaGU?Floratta Rose Des. Colônia: http://bit.ly/2zJSFeW?Floratta Gold Des. Colônia: http://bit.ly/2z3kMZH?Floratta Cerejeira em Flor Des. Colônia: http://bit.ly/2yF4MfQ?? #pracegover: na imagem, sobre uma penteadeira verde, temos os quatro novos frascos de Floratta: Floratta Blue, Floratta Rose, Floratta Gold e Floratta Cerejeira em Flor. Do canto superior esquerdo, uma mão feminina está colocando o frasco de Floratta Flores Secretas, nova fragrância que completa a coleção, junto às outras que estão sobre uma bandeja rosa. Na base do aparador, há o texto: ""Minha coleção completa"".",222188,3457,3569,996,2746186
O Boticário,14/10/2017 09:00,http://www.facebook.com/140105282727777_1688228034582153,"Se as olheiras andam fazendo parte do seu “look do dia”, fica a dica: alguns truques de beleza podem transformar um olhar cansado num olhar arrasador! ????  Pra dar tchau pras olheiras de vez, se liga já nas dicas nesse vídeo aqui! Ah, e aproveita pra conferir também as nossas dicas de como usar o corretivo na make de cada dia. Vem ver! http://bit.ly/2xyOrts??Produtos do vídeo:?Make B. Máscara Para Olhos: http://bit.ly/2hGhW1q?Make B. Creme Redutor de Bolsas de Olheiras: http://bit.ly/2ymUj85",14714,4315,1941,670,2697250
ClubGlamrs,07/10/2017 01:30,http://www.facebook.com/319863888091100_1360975263979952,"It's time to get into the festive mood, here are 3 diya ideas you should start with!",19872,390,4910,965,2676912
Lifebuoy,17/10/2017 05:52,http://www.facebook.com/407422362695986_1232627263508821,"On this Global Handwashing Day Lifebuoy created history along with more than 11,000 Bangladeshi children by aiming for the GUINNESS WORLD RECORDS™ title of Largest Human Image of a Hand.  #High5forHandwashing",221578,1276,2943,1000,2674020
Natura,05/10/2017 16:28,http://www.facebook.com/382381445421_10159557306155422,Viver nas grandes cidades é estar exposta diariamente a fatores que agridem a pele. O novo Concentrado Revitalizante de Chronos traz a exclusiva tecnologia antipoluição e anti-stress para que você tenha uma pele radiante todos os dias. Saiba mais: http://bit.ly/2y3nUTD,20676,1082,2679,788,2619611
O Boticário,09/10/2017 16:00,http://www.facebook.com/140105282727777_1682510575153899,"Quem disse que glamour é pra poucas? Nada disso! Você pode ser super romântica mas ter aquela amiga ultra descolada e vocês duas amarem a mesma fragrância. Glamour é pra todas e não escolhe estilo! ;) Você e sua amiga também tem estilos diferentes mas o mesmo cheirinho favorito? Marca ela nos comentários e conta pra gente! <3??Produto na imagem?Glamour Des.Colônia: http://bit.ly/2xsErBR??#pracegover: Na imagem, o Glamour está sendo agarrado por duas mãos diferentes. Uma tem acessórios mais delicados e a outra é mais estilosa. No canto superior direito temos o texto: ""Glamour é para todas!""",195630,3968,3167,993,2604764
Maybelline Philippines,11/10/2017 08:00,http://www.facebook.com/114944116100_10155624036841101,"HOARD ALERT: Maybelline's having a Big Beauty Blowout! ???????? For as low as P499, you can bring home Maybelline products worth P1,500 to P3,000 with our big beauty buckets! ??Here's all you need to do:??1. Just visit the Maybelline booth on the 2nd Level of Mega Atrium in SM Megamall from Oct 13-15 only.?2. Choose between our mini bucket (P499) or regular bucket (P999).?3. Using the bucket, scoop as many products as you can from our makeup box. ?4. You can get up to P1,500 worth of makeup with the mini bucket and up to P3,000 worth of products with the regular bucket.??Here's a list of FAQs to help you out too:??1. Can I choose which products to get??Here's the thing: you can't pick the products by hand - you'll have to scoop them up with the bucket. But don't worry,  we'll give you 3 CHANCES to do it! :)??2. Are all products included??There are selected participating products you can scoop up!??3. What if the amount of products I scoop is less than what I paid for??You have 3 chances to scoop up products, so you'll  definitely go home a winner! :)??(Per DOH-FDA-CCRR Permit No. 602s. 2017)",28319,53923,11791,1000,2594576
Sensodyne Brasil,27/10/2017 13:01,http://www.facebook.com/220685518049611_1411997678918383,A vida é feita de escolhas! Sensodyne pode ser uma ótima escolha para você! Aperte o play e confira a receita que a Paola Carosella escolheu dividir com a gente hoje.??#escolhasensodyne? ?Receita Ajo Blanco? ?220 g de amêndoas descascadas?50 g de miolo de pão amanhecido?600ml água gelada?4 dentes de alho?200ml de azeite extra-virgem?2 colheres de chá de vinagre de jerez?1 pepino? ?Uvas crimson congeladas para colocar por cima na finalização.? ?Bater todos os ingredientes no liquidificador. Deixar a sopa gelar bem antes de servir. Colocar as uvas crimson congeladas por cima e servir.,37345,1547,4504,1000,2543120
Niely br,01/10/2017 18:00,http://www.facebook.com/363898257018342_1649617945113027,"Testado e aprovado! #NielyDivaDeCrespo é maravilhoso! Manjar perfeito pro day after, junto com a água de coco é uma combinação perfeita! Em outubro, nas lojas, Brasil!?Jeniffer Nascimento",181892,1475,1161,1000,2541724
Veet India,11/10/2017 03:04,http://www.facebook.com/241130119248568_1866666050028292,"The confidence to flaunt your silky smooth skin and be #AlwaysReady is  now in your hands. All you need to do, is #JustVeetIt! Shop now http://amzn.to/2xrm8gh.",70755,763,1167,1000,2531680
ClubGlamrs,03/10/2017 09:30,http://www.facebook.com/319863888091100_1469720096438801,"Tying up your ponytail makes your hair looks short. Here's a quick trick to make it look longer, fuller and voluminous!",27112,224,1693,883,2520169
Manforce Condoms,25/10/2017 09:32,http://www.facebook.com/183424501705984_1617221691659584,Love can take an unfortunate turn if you're careless. ?Indulge in 'safe' sex and #ShutThePhoneUp.??Issued in public interest by Manforce Condoms.,43148,1107,3440,1000,2511961
BlushChannel,28/10/2017 07:00,http://www.facebook.com/964634006880889_1943546535656293,"Every time my mom asks, ""Late kyun hua?""...",8957,12039,3639,1000,2501924
VogueEspana,25/10/2017 16:00,http://www.facebook.com/98367118441_10155963419093442,"Ver un stories de alguien sin ser visto, cambiar las letras a los colores de un Unicornio... ¿Puede una chica postmillenial enseñarte los trucos más alucinantes de Instagram? Nuestro #FashionDrama tiene la respuesta. ¡Play! bit.ly/2yN0rHA",7533,1817,3045,976,2489049
NIVEA MEN India,26/10/2017 14:29,http://www.facebook.com/614717211952083_1532403943516734,"Get, fresh, go! #GetAFreshStart with the NIVEA MEN Fresh Active Deodorant. Get yours, today! http://bit.ly/NIVEAMen-FreshActiveDeodorant",296532,602,426,1000,2485955
