Name,Date,URL,Post,Likes,Comments,Shares,Engagement Score,Reach
O Boticário,27/10/2017 15:00,http://www.facebook.com/140105282727777_1695475617190728,"Sabe aquela tranquilidade que o clima do campo e uma conversa ao ar livre nos trazem? Aaah! Esses momentos nos inspiram a viver novas histórias! E, para isso, nada melhor do que o New Acqua Fresca, a fragrância que chegou para inspirar novos sentimentos em você. E aí, ficou com vontade de experimentar essa novidade? ??????Produtos na Imagem: ?New Acqua Fresca Des. Colônia: http://bit.ly/2xRjThv??#pracegover: na imagem, o New Acqua Fresca esta sobre uma mesa de madeira, ao lado de um vaso de flores vermelhas. Ao fundo, um calendário na página do mês de Outubro com algumas datas riscadas.",197778,2543,3100,992,2475238
ClubGlamrs,21/10/2017 06:30,http://www.facebook.com/319863888091100_1488237491253728,The quintessential saree hack video every girl must see!,9283,259,2003,762,2459723
Sephora,23/10/2017 12:24,http://www.facebook.com/16453004404_10155331722549405,Countdown to ColourPop! ? Only 8 days ‘til you can shop online and in select stores: http://seph.me/2z1uyvs,21497,5532,2355,708,2458664
O Boticário,17/10/2017 08:00,http://www.facebook.com/140105282727777_1691802067558083,"Conheça a linha completa de Malbec Gold! E na compra de dois ou mais itens da linha Malbec Gold, você recebe 15% de desconto. Precisamos dizer mais???Produtos na Imagem: ?Malbec Gold Des. Colônia?Malbec Gold Desodorante Aerosol Antitranspirante?Malbec Gold Shower Gel 2 Em 1 Cabelo E Corpo??*Promoção não cumulativa e válida de 16/10/2017 a 05/11/2017 ou enquanto durarem os estoques. Consulte os itens participantes.??#pracegover na imagem, uma prateleira na cor cinza, sobre a qual estão três produtos da linha Malbec Gold: Malbec Gold Des. Colônia, Malbec Gold Desodorante Aerosol Antitranspirante e Malbec Gold Shower Gel 2 Em 1 Cabelo E Corpo. No canto esquerdo superior, há o texto: ""Uma linha completa pra você surpreender"". Embaixo da prateleira há ganchos, nos quais estão penduradas quatro gravatas e dois relógios.",52688,1426,2165,803,2438136
ClubGlamrs,30/10/2017 01:30,http://www.facebook.com/319863888091100_1482188385191972,"This easy 6 step bun is going to blow your mind! It's easy, heatless and all you need is a sock and a couple of bobby pins!",21932,140,2333,881,2420431
As I Am,16/10/2017 15:32,http://www.facebook.com/298072704791_10155544524299792,Elle P Stewart is so excited to share this Halloween video with all of her ????. Watch this super fun tutorial featuring products our As I Am Born Curly. Get them at bit.ly/BornCurlyAIA,11683,1423,1598,999,2410482
LUX,11/10/2017 08:05,http://www.facebook.com/198681730247947_10159478091660578,"The captivating scent of Egyptian Roses, combined with the rich sweetness of Musk Vanilla, makes the Lux Hypnotic Rose perfumed bar everything you need to be unforgettable. ??#LuxHypnoticRose #LuxPerfumedSoap #perfumedsoap #Lux #LuxFragrance",47749,420,638,1000,2406628
O Boticário,15/10/2017 18:30,http://www.facebook.com/140105282727777_1688153557922934,Chegou o novo Malbec Gold com a exclusiva tecnologia Goldsense. Dê o play e desperte imaginações!,28682,962,2732,702,2386610
Cream Silk Philippines,24/10/2017 01:29,http://www.facebook.com/294932873854545_1570472539684981,"Discover the Cream Silk Customized Solution for you with the Limited Edition Cream Silk Minis, complete with all 7 Customized Solutions! Shop online now and have the #PowerToTransform.",27892,359,239,974,2385926
Lifebuoy,10/10/2017 01:27,http://www.facebook.com/257830004348888_1151776028287610,"Ayo berbagi kebaikan di Hari Cuci Tangan Sedunia bersama Lifebuoy! Hanya dengan aksi mudah, unggah foto kamu tos dengan keluarga atau teman ke Instagram. ?Jangan lupa untuk menggunakan hashtag #TepukSehatIndonesia.??Setiap 1 foto yang kamu post, kamu telah membantu edukasi cuci tangan untuk 10 anak Indonesia. ?Ajak teman-teman kamu yang lain juga ya! ??#TepukSehatIndonesia #HariCuciTanganSedunia #LifebuoyID",52569,564,542,1000,2380932
kyliecosmetics,08/10/2017 16:12,http://www.facebook.com/559929417490965_940397839444119,The Purple Palette: KylieCosmetics.com,12498,681,597,705,2318630
Elf Cosmetics,08/10/2017 12:00,http://www.facebook.com/31654787464_10154219827767465,#skincareandchill queeeen @charmiejanee made this STUNNER post showing off the Beauty Shield Magnetic Mask Kit (only $24!) Have you tried this magical face mask yet? ??PS Big love and thanks to @hudabeauty for reposting this!,9454,5050,2519,994,2302912
Huda Beauty,08/10/2017 04:31,http://www.facebook.com/114619875225579_1608389702515248,Are You Guys Ready for This? #hudabeautyfauxfilter Foundation ???????? going to change some lives ???? October 13!!!!,248947,419,106,1000,2245748
Avon,04/10/2017 11:31,http://www.facebook.com/339804526194_10155435040941195,"A gente já sabe como você pode aproveitar o lançamento da linha de Esmalte Ultra Cobertura e Brilho Color Trend. Com essa ideia apenas incrível para deixar suas mãos ainda mais estilosas, bb. Separa as cores Beijo da Estação e Nome na Lista e vem com a gente! #VaiPassarQual?",16162,1136,1972,769,2234259
NiveaMenID,12/10/2017 08:00,http://www.facebook.com/141234406080065_674660586070775,"Play like the #RealMen! Ini cara keren pas ambil kunci. Biar makin pede pas keluar rumah, pakai NIVEA MEN Oil Attack + Bright Liquid Facial Foam, mengontrol minyak seharian dan membersihkan kotoran sampai pori terdalam di muka kamu. Ngomong-ngomong ada rencana ke mana hari ini, Men?",75293,227,228,1000,2214566
ClubGlamrs,29/10/2017 04:30,http://www.facebook.com/319863888091100_1497581056986038,All you need is a safety pin for these unique festive drapes!,7164,301,3047,837,2211996
Carol's Daughter,12/10/2017 20:40,http://www.facebook.com/111744862223_10155305866537224,"Dear Mom, I'm stuck to you like glue! ?????????????: @blessedindoubles??#mommysgirl #madewithlove",9219,2546,2434,999,2190601
Lifebuoy,04/10/2017 03:40,http://www.facebook.com/407422362695986_1222578087847072,??? ??? ????? ??????? ??? ???? ?? ???? ???? ??? ?????? ?????? ??? ????? ??????? ?????? ??? ???? ??? ???  #High5forHandwashing ???? ????? ??? ?????? ????? ?????????????,260726,499,258,1000,2153973
BlushChannel,21/10/2017 02:14,http://www.facebook.com/964634006880889_1934042703273343,"We've written our statuses and shared our stories, this is the people of Culture Machine, saying #MeToo.",14887,1155,5787,1000,2144969
Lancôme,03/10/2017 15:15,http://www.facebook.com/114089341976010_1614892995228963,A felicidade é a melhor forma de beleza. ?,149501,1088,18224,1000,2134739
ClubGlamrs,09/10/2017 09:30,http://www.facebook.com/319863888091100_1469780443099433,"Want your face to look lean and  chiseled? These contouring, highlighting and baking tricks will help you get the look!",7599,156,1612,686,2115448
LUX,11/10/2017 05:02,http://www.facebook.com/474653995929343_1602791819782216,Discover perfumed moments that make our Lux girls feel fabulous. Visit https://www.luxstyle.pk/new-lux-perfumed-collection/ to browse through the captivating New Lux Perfumed Collection. #ZarasaLux #LuxPerfume #PerfumedCollection,14981,372,673,999,2109824
Durex India,17/10/2017 06:34,http://www.facebook.com/304211443013233_1222349987866036,Can't light crackers outside? Indoor fireworks are always more satisfying. Have a #HappyDiwali with Durex!?Buy now: http://bit.ly/2un0NBQ,151509,3855,1265,1000,2109604
O Boticário,22/10/2017 08:00,http://www.facebook.com/140105282727777_1696757297062560,"Já ouviu falar do poder super hidratante do óleo de coco? A linha Match. Fonte da Hidratação leva na fórmula esse maravilhoso componente, hidratando o seu cabelo já na primeira aplicação. E sabe o melhor? A linha tá com desconto de até 20%!! Seus cabelos vão amar <3??*Promoção não cumulativa e válida de 16/10/2017 a 05/11/2017 ou enquanto durarem os estoques. Consulte os itens participantes.??Produtos na Imagem:?Match Fonte da Hidratação Condicionador Co Wash: http://bit.ly/2gUxGP1?Match Fonte da Hidratação Máscara Capilar: http://bit.ly/2ywWrLe?Match Fonte da Hidratação Shampoo: http://bit.ly/2yEEhEZ?Match Fonte da Hidratação Condicionador: http://bit.ly/2yE0kgU??#pracegover: na imagem, a linha Match. Fonte da Hidratação está espalhada sobre uma bancada de azulejos escuros. Os produtos estão próximos de uma toalha, um secador e uma escova de cabelos, todos na cor azul. Na imagem aparece ainda o texto ""Cabelos mega hidratados por menos? Aproveita que tem promo!"".",121787,2339,2654,958,2100868
Maybelline NY Brasil,26/10/2017 09:00,http://www.facebook.com/247739071945676_1688896924496543,"#FaçaAcontecer: Ainda não sabe qual será a sua fantasia para o Halloween? ???????? Não precisa mais procurar: a Mandy do blog Starving preparou um tutorial de make de caveira bem diferente e ousado para você arrasar nas festas! ????? Ela usou uma super novidade que tá chegando de NY: a paleta de sombra #TheNudes! Já já você já vai poder garantir a sua em nossos quiosques! ??????????????Para o passo a passo completo, clique aqui: http://bit.ly/MakeCaveira?????? Paleta The Nudes????? Lápis Colossal Kajal Extreme????? Delineador Master Graphic????? Delineador Master Precise????? Master Strobing Stick????? Máscara de cílios Colossal??#MaybellineNYBrasil #HotFromNY",10172,6886,2941,975,2078557
Garnier Indonesia Official,11/10/2017 04:20,http://www.facebook.com/168910683121299_1688428601169492,"Mau kulit yang cerah merona dan juga GLOWING? Gunakan  Sakura White Ultimate Serum, serum ringan dengan 1.000 Glowing Capsules yang bikin kulit kamu GLOWING! Kini dengan harga spesial di Indomaret.",168913,763,182,1000,2074373
Lifebuoy,15/10/2017 14:58,http://www.facebook.com/407422362695986_1231476760290538,"On this Global Handwashing Day Lifebuoy created history along with more than 11,000 Bangladeshi children by aiming for the GUINNESS WORLD RECORDS™ title. #High5forHandwashing",53132,335,239,1000,2073923
ClubGlamrs,03/10/2017 03:30,http://www.facebook.com/319863888091100_1720792384895457,"?? ??? ???? ???? ???? ????????? ?????? ?? ?? ?? ?????? ?? ????????? ???? ?????????!????? ???? ???? ????? ?? ???????? ???? (Full Recipe) - ??Serves: 4 | Prep time: 15 minutes | Cook time: 20 minutes??Ingredients:??- Leftover rice / ?????? ???? - 2 cups, cooked?- Onion / ????? - 1 large, chopped?- Tomatoes / ????? - 2 small, chopped & de-seeded?- Potato / ??? - 1 large, boiled & chopped?- Peas / ??? - ? cup, boiled?- Chillies / ??? ????? - 1, chopped?- Ginger-garlic paste / ????? ???? ?? ????? - 1 tbsp?- Cumin seeds / ???? - 1 tsp?- Pav bhaji masala / ??? ???? ????? - 2 tbsp?- Ghee / ?? - 2 tbsp?- Butter / ????? - to taste?- Coriander / ??? ????? - to garnish??Method:??- Start off with boiling your potatoes and peas. A great idea for boiled potatoes is to dunk them in cold water which stops them from cooking further and also loosens the skin, which can then be removed with ease. You can cook your potatoes in a pressure cooker as well. Just keep them in for 4 whistles.??- Boil the peas until they are tender. This should take about 15 minutes.??- To make the pav bhaji base you start with some ghee in a pan. Feel free to use oil if you’d like.??- Next we add in the cumin seeds which will crackle and become aromatic.??- Now add in your chopped onions. Onions form the basis of most dishes and add body and flavour. You want to cook these through until they are soft and translucent.??- Your chillies go in next. You can use the mild chillies or the spicy ones and add more if you like your food hot and spicy. If you prefer milder food then you can even deseed the chillies to remove some of the sharp heat.??- Then add in your ginger garlic paste and the pav bhaji masala. You want these to cook properly and lose their raw edge. This should take a minute or two. Make sure your heat is on low to medium-low.??- Then we add in the chopped up tomatoes, because pav bhaji is not pav bhaji without tomatoes. You want to make sure these are deseeded so that the rice doesn’t become too sog",8842,403,1667,730,2053529
O Boticário,05/10/2017 15:04,http://www.facebook.com/140105282727777_1677426878995602,"Já conheceu o novo Floratta Flores Secretas? Então faça essa viagem com a gente para desvendar os seus segredinhos. Mas atenção! Você pode se apaixonar. Depois não diga que a gente não avisou. ;)??#pracegover: A imagem em 360 graus conta a história por trás da nova fragrância Floratta Flores Secretas com ilustrações em aquarela. Movendo o celular ou o mouse, temos o texto: ""Fomos até a Toscana buscar inspiração no figo e suas flores secretas. Elas se se escondem no interior do fruto. A combinação de notas florais com toques frutais foi traduzida no acorde exclusivo Flor de Figo. O resultado é uma fragrância surpreendente, como as melhores histórias de amor. Porque o amor pode estar onde você menos espera.""",126277,4950,3023,973,2041664
ClubGlamrs,10/10/2017 09:30,http://www.facebook.com/319863888091100_1469787156432095,'Tea and Rum' the secret ingredients that will leave your hair looking super healthy and shiny!,8784,220,2624,818,2000928
doTERRA,08/10/2017 14:00,http://www.facebook.com/60387074313_10155814963289314,"Make these d?TERRA Emotional Aromatherapy® Bath Bombs to turn any mood around. Whether you want to feel peaceful, cheerful, or motivated, these bath bombs are the perfect way to pamper yourself at the end of the day. Which one do you want to make???We hope you learn from our mistake and wear gloves with this one ????",6434,1260,8349,1000,1992088
L'Oréal Professionnel,19/10/2017 05:08,http://www.facebook.com/237680362949578_1822477951136470,"Introducing L’Oreal Professionel Hair Touch Up  Spray. Perfect for your last minute grey hair fix, it’s the root saver of the pros! Get your shade today! #NoMoreGreys #HairTouchUp",7664,1100,1645,997,1991372
ClubGlamrs,06/10/2017 02:30,http://www.facebook.com/319863888091100_1476723419071802,There’s nothing better than inexpensive and effective ways to control DANDRUFF and an ITCHY SCALP. Oiling techniques + useful tips + product suggestions - ALL IN HERE! Make way for healthy hair!,10415,359,1981,781,1991042
Mary Kay de México,06/10/2017 10:59,http://www.facebook.com/169040003106659_1674278739249437,¿Qué estilo del ¡Nuevo! Labial en Gel Semi-Shine Mary Kay® es tu favorito? ?????Conoce más en https://www.marykay.com.mx/es-mx/tips-y-tendencias/nuevos_productos/0917_labial-en-gel-semi-shine?iad=_home_marketplaceVertical_LabialGelSemiMate?cid=sm_fb_lanzamientos_conv_semishine,6477,726,2609,859,1976657
ClubGlamrs,14/10/2017 09:30,http://www.facebook.com/319863888091100_1483720558372088,Did you know that a little bit of VITAMIN-E has so many beauty benefits? Here's how you can fit this tiny capsule in your daily beauty regime!,8664,141,2675,817,1969047
L'Oréal Paris Brasil,04/10/2017 13:32,http://www.facebook.com/158219407534974_10211980697486423,"Com a Água Micelar de L'Oréal Paris você está a apenas 1 gesto de uma pele purificada e macia, como se tivesse acabado de sair do banho!",32903,1575,967,804,1957563
O Boticário,16/10/2017 09:59,http://www.facebook.com/140105282727777_1691523384252618,"Chegou o novo ?Malbec Gold? com a exclusiva tecnologia Goldsense. Surpreenda, descubra e desperte imaginações. Clique e conheça!??Produto na Imagem: ?Malbec Gold Des. Colônia??#pracegover A imagem contém um fundo preto com textura de couro e, no centro, está em destaque o Malbec Gold, cuja embalagem traz a sofisticada combinação da cor preta e da cor dourada. Da esquerda para a direita, ao redor da fragrância, vemos um cinto preto de couro, uma caneta preta, um celular com capa de couro preta, uma chave de carro, um pendrive preto e parte de um sapato, também em couro e de cor preta.",59537,3109,3760,894,1955469
Chanel,04/10/2017 10:11,http://www.facebook.com/908096722655850_10155905666444235,Le film du défilé Prêt-à-porter Printemps-Été 2018.?Plus d'information sur chanel.com/-RTW_Spring-Summer18FR,8412,930,2817,999,1953525
Maybelline Philippines,05/10/2017 02:00,http://www.facebook.com/114944116100_10155586127556101,"Our NEW Inti-Matte Nudes Lipstick Collection is Gigi Hadid's new lippie obsession! Comprised of 10 gorgeous warm nude matte shades from the Powder Mattes and the Creamy Mattes - including 7 NEW shades! - our Inti-Mattes lippies perfectly complement Filipina skintones for that effortless MLBB look. Get them now while they're ON SALE for ONLY P199 each from Sept 29 to Oct 29 in Maybelline counters nationwide. #MLBBwithMaybelline?? Gigi Hadid is wearing Powder Mattes Almond Pink.??The INTI-MATTE NUDES Shades:?Powder Mattes: Nude Illusion, Make Me Blush, Touch of Nude, Toasted Brown, Raw Cocoa, Walnut, Almond Pink?Creamy Mattes: Just A Teaser, Pretty Please, Chili Nude??(Per DOH-FDA-CCRR Permit No. 602 s. 2017)",115120,3727,1134,1000,1947740
Mary Kay,04/10/2017 16:00,http://www.facebook.com/185438767170_10155854104642171,Start your success story! Kick off your Mary Kay business this month and receive two of our best-selling masks FREE! ???? Learn more: http://bit.ly/2xM4i68,5939,305,6943,993,1924546
doTERRA,10/10/2017 11:22,http://www.facebook.com/60387074313_10155839014649314,Get a sneak peek at our 2017 Holiday Gift Giving Guide! These products will be available to purchase on November 1st. Which item are you going to buy? ??doterra.com/holidayguide2017,6506,1249,5032,1000,1917291
rodanandfields,06/10/2017 12:42,http://www.facebook.com/88127096807_10156520968291808,The future of skincare is now! Contact your Independent Consultant to join the #RetinalRevolution today.,2246,341,14480,1000,1897135
Close-up,02/10/2017 04:54,http://www.facebook.com/320692634698083_1162390677194937,"Ceritakan moment kesegaran nafasmu yang paling keren dengan menggunakan Closeup hanya dengan menuliskan dalam satu rangkaian kalimat di kolom komen di bawah ini!?Contohnya:?“Di malam keakraban kampus tahun ini, gue berhasil ngajak kenalan junior paling cantik seangkatan dan dapetin nomer hp nya, berkat nafas segar Closeup!”? ?Ayo langsung ikutan sebelum 31 Oktober 2017, karena hadiah-hadiah di bawah ini sudah menunggumu:?Pemenang pertama: 1 unit Samsung Galaxy J2 (8GB)?Pemenang kedua: 1 unit Sony Headphone Black?Pemenang ke 3-5: @ 2 unit tongsis GMC MonoPod? ?Untuk keterangan lebih lanjut, klik link di bawah ini:?https://www.facebook.com/notes/closeup/syarat-ketentuan-moment-kesegaran-nafas-closeup-competition/1162389263861745/",173887,1328,281,1000,1891594
Garnier Indonesia Official,24/10/2017 23:15,http://www.facebook.com/168910683121299_1697113350301017,Dapatkan kulit cerah bercahaya dengan Light Complete FOAM untuk bantu bersihkan kulit wajahmu dan gunakan KRIM SIANG 12 Hours Shine Free untuk cerahkan wajahmu tanpa kilap seharian! Harga spesial di Indomaret,154476,309,47,1000,1874655
Huda Beauty,10/10/2017 14:11,http://www.facebook.com/114619875225579_1610828965604655,Get flawless legs in minutes with our #hudabeautyfauxfilter foundation!! It's water resistant so it's perfect for every situation ????????,19037,3002,785,985,1874606
Kiehl's,04/10/2017 17:06,http://www.facebook.com/9839961695_10154974350716696,"In honor of Breast Cancer Awareness Month, Kiehl's wants YOU to join us in spreading encouragement to millions of women across the US. Share this video to help make a difference. With every share we will donate $1 to fund breast cancer education and research through Bright Pink and Brem Foundation to Defeat Breast Cancer, up to $35,000. Join #KissforTheCure and help women everywhere.",6797,558,5810,1000,1873566
O Boticário,24/10/2017 08:00,http://www.facebook.com/140105282727777_1700024323402524,"Presentear e cuidar daquelas amigas que você vive grudada e que te fazem tão bem é uma delícia, né? Então, cola aqui que a gente tem opções de presentes especiais para todas elas! São tantos combos fofos de Cuide-se Bem que suas bests vão amar! ??????Promoção não cumulativa e válida de 16/10/2017 a 21/01/2018 ou enquanto durarem os estoques. Consulte os itens participantes.*??Produtos na Imagem: ?Álcool em gel Morango e Leite: http://bit.ly/2xYzkJP?Álcool em gel Leite e Mel: http://bit.ly/2xjfcOh?Álcool em gel Rosa e Algodão: http://bit.ly/2yLSX7k?Álcool em gel Nuvem: http://bit.ly/2hZeRd6?Capinha Moranguinho em Silicone: http://bit.ly/2yLUmL8?Capinha Abelinha em Silicone: http://bit.ly/2l9zZSL?Capinha Nuvem em Silicone: http://bit.ly/2zxIiu1?Capinha Rosa E Algodão em Silicone: http://bit.ly/2yKcVgJ?? #pracegover: na imagem, os quatro álcool em gel de Cuide-se Bem estão dispostos sobre uma mesa branca próximos aos holders super fofos de cada fragrância. Temos ainda o texto ""Para minha amiga. Que é um docinho. Apaixonada pela primavera. Mais fofa. Que vive nas nuvens."".",53872,1986,1028,771,1863369
rodanandfields,06/10/2017 12:52,http://www.facebook.com/88127096807_10156521002981808,Bright Eye Complex has arrived! #GoBrightAhead and get on your Consultant's VIP list today.,2699,570,16013,1000,1853548
S-momclub,02/10/2017 03:00,http://www.facebook.com/164129425041_10155407797060042,????????????????????????????????????????????????? ?????????????????????????????????? ????? ?????????????????????????? ???? ???? ????? ?????????????????????????????????????????????????! http://bit.ly/2vkgxGK,129895,1243,748,1000,1839673
Huda Beauty,27/10/2017 15:09,http://www.facebook.com/114619875225579_1626994047321480,????????????,193764,535,631,1000,1838731
Dove,05/10/2017 04:21,http://www.facebook.com/524976434192393_1553589634664396,There are better things to keep count of than falling hair strands. Experience upto 98% less hairfall.?#DoveIsDifferent #DoveHairfallRescue,17102,1103,462,992,1838016
Jeffree Star,07/10/2017 20:31,http://www.facebook.com/61614240588_10155406655420589,Getting ready for a parent-teacher conference ????,6627,2303,715,848,1836968
